"name","lon","lat"
"Hôtel Boileau",2.2624259,48.8407519
"Régina",2.3162541,48.8172055
"Hôtel du Plat d'Étain",2.3557047,48.8684818
"Hôtel Edouard 7",2.3330189,48.8683547
"Artus Hotel",2.3360798,48.8534652
"Jardin de Villiers",2.3149854,48.8840377
"Campanile Levallois-Perret",2.283952,48.8913863
"Astoria",2.3229491,48.8816809
"Hôtel Malar",2.3060335,48.8601782
"Hôtel de Latour-Maubourg",2.3104628,48.8582076
"Oksar",2.3059223,48.8988047
"TimHotel",2.2923661,48.8501771
"Icône",2.3389925,48.8711029
"Hôtel Rachel",2.4036308,48.8826585
"Hôtel Apogia Paris",2.395149,48.8201479
"Hôtel Magenta",2.3594412,48.8728277
"Hôtel de la Sarthe",2.3609799,48.8337847
"Hôtel du Terrage",2.3624214,48.8774454
"Le Richemont",2.368912,48.8279496
"Pley Hotel",2.3041375,48.8756281
"Hôtel de Nemours",2.3728589,48.8652071
"Hôtel Les Jardins d'Eiffel",2.3074168,48.8590356
"Hôtel Rhin et Danube",2.3930133,48.8822355
"Hôtel Studia",2.3476328,48.8501323
"123 Astotel",2.3096896,48.8736453
"Hôtel Mondial",2.3443295,48.8719292
"Saint-Sébastien",2.370998,48.8615198
"Hôtel de l'Alma",2.3033559,48.8569311
"Hôtel de Joséphine Bonaparte",2.3620997,48.855474
"Atelier Montparnasse",2.3168662,48.8333519
"Hôtel des Académies",2.330431,48.8420852
"Simon’s boutique hotel",2.3624911,48.8897685
"Hôtel du Palais Bourbon",2.3172598,48.8565174
"Hôtel de Nantes",2.3679226,48.884465
"Hôtel Petit Lafayette",2.3456648,48.8761061
"Hôtel France d'Antin",2.3339332,48.8692604
"Hôtel de la Trémoille",2.3028826,48.8668308
"Hôtel Caron",2.3625198,48.8550826
"Edgar & Achille",2.3498882,48.8685564
"Fred Hôtel",2.3163892,48.83221
"Comfort Hotel Paris Porte d'Ivry",2.3761395,48.8198085
"Hôtel Margot",2.356626,48.8793279
"Hôtel Maison FL",2.284083,48.8588094
"Hôtel des Olympiades",2.3472231,48.8936639
"Hôtel Ségur",2.3049905,48.846671
"Hôtel Minerve",2.3514397,48.8477032
"La Manufacture",2.355328,48.8329337
"Hôtel Torcy",2.3604459,48.8910813
"Mademoiselle",2.3543165,48.8772727
"Hôtel Chatillon Paris Montparnasse",2.3232405,48.825673
"Hôtel Franklin",2.284629,48.8591494
"Hôtel Manolita",2.3328159,48.8840711
"Hôtel Ibis Budget Porte de la Chapelle-Aréna",2.3602843,48.9016346
"Verneuil",2.3314438,48.8573547
"Louis II",2.3382057,48.8516052
"Hôtel Sophie Germain",2.3306591,48.8309706
"Millésime",2.3350249,48.8550828
"L'Ouest Hôtel",2.323359,48.8755174
"Renaissance Paris Vendôme Hotel",2.3296865,48.8654715
"9 Hôtel Bastille-Lyon",2.3714639,48.8473827
"Hôtel Villa Garibaldi",2.3058161,48.8464533
"L'Hôtel",2.3352399,48.8563424
"Hôtel Acacias Etoile",2.2907798,48.8766342
"Hôtel Paris Villette",2.3731031,48.892959
"Mercure Paris Vaugirard Porte de Versailles",2.2880199,48.8330436
"Hôtel Mazagran",2.3514148,48.8703073
"Hôtel Campanile Paris Est - Pantin",2.4034084,48.8911493
"Hôtel du Trône",2.3382699,48.8830301
"Hôtel du Cadran",2.3059811,48.8565568
"Hôtel des Arts",2.3448109,48.8775103
"Paris Eiffel Cambronne",2.3005923,48.8479906
"Atelier Vavin",2.3287639,48.8425947
"Viator",2.3725504,48.8468441
"Hôtel Plaza Étoile",2.2964142,48.8760779
"Renoir",2.3261885,48.8426758
"Hôtel Perreyve",2.3316624,48.8471731
"Hôtel Ermitage",2.3927092,48.8717563
"Hôtel Cornet",2.3430435,48.8697285
"Bleu de Grenelle",2.2987134,48.8485684
"Hôtel d'Aubusson",2.3395044,48.8547614
"Monsieur Georges Hôtel & Spa",2.302548,48.8729587
"Neptune",2.3574384,48.831857
"Au royal Pantin",2.3996139,48.8951585
"AC Hotel by Marriott",2.2821515,48.8820964
"Ibis Styles Paris Nation Cours de Vincennes",2.4080026,48.8469348
"Hôtel de l'Université",2.3300206,48.857033
"Hôtel Mercure Paris Gare de Lyon TGV",2.3728366,48.8444405
"Le Friedland",2.304859,48.8750868
"Hôtel de l'Avenue",2.3272706,48.8847127
"Hôtel Exquis",2.3805832,48.8536951
"Style",2.3269117,48.8861113
"Hôtel Hameau de Passy",2.2796045,48.857897
"Hôtel de Varenne",2.3172527,48.8569907
"Nouvel hôtel",2.3718863,48.8650969
"Saint-Germain",2.3242155,48.8547407
"Hôtel de la cité Rougemont",2.3452475,48.8720938
"Adagio Aparthotel",2.3114776,48.820106
"Hôtel Victoria Châtelet",2.3467061,48.8578252
"Villa des Princes",2.3394821,48.8511641
"Zora",2.346762,48.8664917
